,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type,currentprice,movingaverage
1,TMC,TMC the metals Co Inc.,Barron Gerard,Chief Executive Officer,"Jun 29, 2022",$1.01,25000,25250,15316809,"Jun 29, 2022, 09:56 PM",buy,1.0,2.0531666709317102
2,LAZY,"Lazydays Holdings, Inc.","B. Riley Financial, Inc.",10% Owner,"Jun 27, 2022",$12.33,12990,160128,164909,"Jun 29, 2022, 09:30 PM",buy,11.59000015258789,18.664861128065322
3,LAZY,"Lazydays Holdings, Inc.","B. Riley Financial, Inc.",10% Owner,"Jun 29, 2022",$11.83,36333,429747,239909,"Jun 29, 2022, 09:30 PM",buy,11.59000015258789,18.664861128065322
4,LAZY,"Lazydays Holdings, Inc.","B. Riley Financial, Inc.",10% Owner,"Jun 28, 2022",$12.16,38667,470249,203576,"Jun 29, 2022, 09:30 PM",buy,11.59000015258789,18.664861128065322
5,MDV,MODIV INC.,NOLAN THOMAS H JR,Director,"Jun 27, 2022",$15.97,61,974,10327,"Jun 29, 2022, 09:11 PM",buy,17.594999313354492,18.77541053169652
6,MDV,MODIV INC.,SMITH KIMBERLY J,Director,"Jun 27, 2022",$15.97,5,80,866,"Jun 29, 2022, 09:11 PM",buy,17.594999313354492,18.77541053169652
7,MDV,MODIV INC.,Halfacre Aaron Scott,CEO,"Jun 27, 2022",$15.99,83,1327,21047,"Jun 29, 2022, 09:11 PM",buy,17.594999313354492,18.77541053169652
8,MDV,MODIV INC.,Halfacre Aaron Scott,CEO,"Jun 28, 2022",$17.87,42,751,21089,"Jun 29, 2022, 09:11 PM",buy,17.594999313354492,18.77541053169652
9,MDV,MODIV INC.,McWilliams Curtis B,Director,"Jun 27, 2022",$15.97,65,1038,10939,"Jun 29, 2022, 09:10 PM",buy,17.594999313354492,18.77541053169652
10,MDV,MODIV INC.,Tirondola Connie,Director,"Jun 27, 2022",$15.97,5,80,866,"Jun 29, 2022, 09:10 PM",buy,17.594999313354492,18.77541053169652
