,0
A  A,wireless-telecommunications
B  B,telecommunications-equipment
BOC,advertising-marketing-services
CCO,advertising-marketing-services
CNET,advertising-marketing-services
CPOP,advertising-marketing-services
DRCT,advertising-marketing-services
E  E,wholesale-distributors
FCUV,advertising-marketing-services
GAME,advertising-marketing-services
H  H,wholesale-distributors
I  I,telecommunications-equipment
ICLK,advertising-marketing-services
IPG,advertising-marketing-services
ISIG,advertising-marketing-services
M  M,water-utilities
MOBQ,advertising-marketing-services
NCMI,advertising-marketing-services
NLSN,advertising-marketing-services
NXTP,advertising-marketing-services
OMC,advertising-marketing-services
QNST,advertising-marketing-services
QUOT,advertising-marketing-services
S  S,wireless-telecommunications
STRN,advertising-marketing-services
THRY,advertising-marketing-services
TRKA,advertising-marketing-services
T  T,trucks-construction-farm-machinery
WPP,advertising-marketing-services
ACHR,aerospace-defense
AIR,aerospace-defense
AJRD,aerospace-defense
ARBE,aerospace-defense
ASTC,aerospace-defense
ASTR,aerospace-defense
AVAV,aerospace-defense
AXON,aerospace-defense
BA,aerospace-defense
C  C,wholesale-distributors
COMS,aerospace-defense
CW,aerospace-defense
DCO,aerospace-defense
ERJ,aerospace-defense
ESE,aerospace-defense
ESLT,aerospace-defense
EVTL,aerospace-defense
GD,aerospace-defense
HEI,aerospace-defense
HEI.,aerospace-defense
HII,aerospace-defense
HWM,aerospace-defense
HXL,aerospace-defense
JOBY,aerospace-defense
KAMN,aerospace-defense
KTOS,aerospace-defense
LDOS,aerospace-defense
LHX,aerospace-defense
LILM,aerospace-defense
LMT,aerospace-defense
MNTS,aerospace-defense
MOG.,aerospace-defense
MRCY,aerospace-defense
MSI,aerospace-defense
MYNA,aerospace-defense
NOC,aerospace-defense
N  N,specialty-stores
P  P,wireless-telecommunications
POWW,aerospace-defense
RADA,aerospace-defense
RDW,aerospace-defense
RKLB,aerospace-defense
RTX,aerospace-defense
SATL,aerospace-defense
SPCE,aerospace-defense
SPR,aerospace-defense
SSTI,aerospace-defense
SWBI,aerospace-defense
TATT,aerospace-defense
TDG,aerospace-defense
TDY,aerospace-defense
TGI,aerospace-defense
TXT,aerospace-defense
UAVS,aerospace-defense
VORB,aerospace-defense
ACB,agricultural-commodities-milling
ADM,agricultural-commodities-milling
AGRO,agricultural-commodities-milling
AKAN,agricultural-commodities-milling
ALCO,agricultural-commodities-milling
ANDE,agricultural-commodities-milling
APPH,agricultural-commodities-milling
AVO,agricultural-commodities-milling
BARK,agricultural-commodities-milling
BG,agricultural-commodities-milling
BRCN,agricultural-commodities-milling
CGC,agricultural-commodities-milling
CRES,agricultural-commodities-milling
CRON,agricultural-commodities-milling
DAR,agricultural-commodities-milling
ELAN,agricultural-commodities-milling
HEXO,agricultural-commodities-milling
HUGE,agricultural-commodities-milling
IBA,agricultural-commodities-milling
L  L,trucks-construction-farm-machinery
LND,agricultural-commodities-milling
MGPI,agricultural-commodities-milling
OGI,agricultural-commodities-milling
R  R,steel
SISI,agricultural-commodities-milling
SNDL,agricultural-commodities-milling
TLRY,agricultural-commodities-milling
VITL,agricultural-commodities-milling
V  V,recreational-products
AAWW,air-freight-couriers
BEST,air-freight-couriers
CHRW,air-freight-couriers
CYRX,air-freight-couriers
DADA,air-freight-couriers
EXPD,air-freight-couriers
FDX,air-freight-couriers
FWRD,air-freight-couriers
GXO,air-freight-couriers
HUBG,air-freight-couriers
PBI,air-freight-couriers
PFSW,air-freight-couriers
UPS,air-freight-couriers
Y  Y,water-utilities
ZTO,air-freight-couriers
AAL,airlines
ALGT,airlines
ALK,airlines
ATSG,airlines
AZUL,airlines
BLDE,airlines
CEA,airlines
CPA,airlines
DAL,airlines
GOL,airlines
HA,airlines
JBLU,airlines
LUV,airlines
MESA,airlines
RYAA,airlines
